nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,Ncycles,f,E,Temp.
461,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,25.0,263.16,3.290479813330673,5.0,38.900000000000006,28.31111111111111
462,53.31,0.0,3.9,25.0,97.5,145.0,-1.0,15.0,153.85,6.473181761847048,5.0,37.55,28.31111111111111
468,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,20.0,210.53,4.569993887567447,5.0,37.65,28.31111111111111
469,53.31,0.0,3.8,25.0,95.0,145.0,0.1,32.47,341.77,4.373132774549157,5.0,38.22,28.31111111111111
547,52.55,0.0,3.74,24.84,92.9,145.0,-1.0,20.0,215.28,4.239799818447099,5.0,38.019999999999996,27.504166666666663
548,52.55,0.0,3.92,24.71,96.86,145.0,-1.0,25.0,258.1,2.9934362304976116,5.0,36.57,27.504166666666663
549,52.55,0.0,3.78,24.88,94.05,145.0,-1.0,25.0,265.83,3.163757523981956,5.0,39.095,27.504166666666663
647,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,25.0,263.16,3.2821687783046416,5.0,37.25,28.31111111111111
650,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,20.0,210.53,4.413450651007325,5.0,37.55,28.31111111111111
651,53.31,0.0,3.8,25.1,95.38,145.0,-1.0,20.0,209.69,4.536987475130602,5.0,37.75,28.31111111111111
653,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,25.0,263.16,2.9628426812012423,5.0,37.35,28.31111111111111
654,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,18.0,189.47,5.168332455625744,5.0,37.5,28.31111111111111
659,52.32,0.0,3.7,24.7,91.39,145.0,-1.0,27.83,304.52,2.630427875025024,5.0,37.945,28.31111111111111
660,52.32,0.0,3.7,24.9,92.13,145.0,-1.0,16.7,181.24,5.804564655426015,5.0,39.195,28.31111111111111
661,52.32,0.0,3.7,24.4,90.28,145.0,-1.0,23.19,256.89,3.387389826338729,5.0,39.099999999999994,28.31111111111111
662,52.32,0.0,3.7,24.7,91.39,145.0,-1.0,23.19,253.77,3.36285930295868,5.0,39.335,28.31111111111111
665,52.32,0.0,3.7,24.8,91.76,145.0,-1.0,16.7,181.98,5.833532767592629,5.0,38.635000000000005,28.31111111111111
668,52.32,0.0,3.7,25.0,92.5,145.0,-1.0,32.47,351.01,3.4316853446860116,1.0,39.379999999999995,28.31111111111111
669,52.32,0.0,3.8,24.8,94.24,145.0,-1.0,23.19,246.09,3.55339751012388,5.0,37.480000000000004,28.31111111111111
670,52.32,0.0,3.7,24.7,91.39,145.0,-1.0,30.0,328.26,3.362670929725667,1.0,38.55,28.31111111111111
673,52.32,0.0,3.75,24.9,93.38,145.0,-1.0,18.55,198.7,5.65778321280759,5.0,38.405,28.31111111111111
677,50.66,0.0,3.8,24.7,93.86,145.0,-1.0,27.83,296.51,4.335197045077562,1.0,38.22,28.31111111111111
683,50.66,0.0,3.8,24.8,94.24,145.0,-1.0,16.7,177.19,5.870333077896974,5.0,38.5,28.31111111111111
891,53.31,0.0,3.85,25.37,97.76,145.0,10.0,-50.0,-511.47,0.3010299956639812,2.8,39.13,30.14727272727273
892,53.31,0.0,3.78,25.08,94.89,145.0,10.0,-40.0,-421.56,6.0,1.7,42.24,30.14727272727273
893,53.31,0.0,3.79,25.22,95.5,145.0,10.0,-38.0,-397.9,5.479330527707678,4.85,41.19,49.5
894,53.31,0.0,3.81,25.62,97.61,145.0,10.0,-45.0,-461.01,2.469822015978163,4.0,41.18,28.0
895,53.31,0.0,3.74,25.38,94.92,145.0,10.0,-40.0,-421.4,5.0802114725318805,4.5,39.99,30.14727272727273
896,53.31,0.0,3.74,25.5,95.29,145.0,10.0,-42.0,-440.78,3.7685641095135733,4.7,42.18,34.4
897,50.66,0.0,3.78,24.75,93.49,145.0,-1.0,25.0,267.42,3.3483048630481607,2.5,39.025000000000006,43.6
898,50.66,0.0,3.79,24.74,93.86,145.0,-1.0,25.0,266.35,4.215796132589833,2.5,38.05,32.6
899,50.66,0.0,3.83,24.79,95.04,145.0,-1.0,17.0,178.87,5.953092036768397,4.32,39.225,30.14727272727273
900,50.66,0.0,3.79,24.62,93.32,145.0,-1.0,25.0,267.89,4.656835780078811,2.0,39.7,32.5
901,50.29,0.0,3.77,24.61,92.85,145.0,-1.0,17.5,188.48,5.609812035461795,4.1,38.675,45.0
902,50.29,0.0,3.81,24.66,93.95,145.0,-1.0,20.0,212.87,5.497554361304037,3.13,38.6,31.0
903,50.29,0.0,3.81,24.76,94.25,145.0,-1.0,17.0,180.37,5.836186715107154,4.32,39.05,30.14727272727273
904,50.29,0.0,3.76,24.7,92.8,145.0,-1.0,20.0,215.51,5.439094161184332,3.13,39.1,30.14727272727273
905,50.29,0.0,3.81,24.91,94.92,145.0,-1.0,20.0,210.7,5.42838913831827,3.13,37.95,30.14727272727273
906,50.29,0.0,3.87,24.96,96.69,145.0,-1.0,20.0,206.84,5.311416887321614,3.13,37.175,29.1
907,50.29,0.0,3.81,24.91,94.92,145.0,-1.0,25.0,263.38,4.6652337918846865,2.0,38.95,30.14727272727273
908,50.29,0.0,3.83,24.71,94.56,145.0,-1.0,20.0,211.51,5.189158921951052,3.13,37.2,30.14727272727273
909,50.29,0.0,3.82,24.79,94.63,145.0,-1.0,17.5,184.93,5.728460921835572,4.1,38.525000000000006,40.7
