nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean,smin
378,6.55,24.9,163.1,150.0,-1.0,258.56,2.225309281725863,0.0,-258.56
383,6.55,24.55,160.8,150.0,-1.0,259.01,2.526339277389844,0.0,-259.01
535,6.75,25.29,170.62,150.0,-1.0,263.74,2.423245873936808,0.0,-263.74
536,6.8,25.21,171.43,150.0,-1.0,204.17,2.6464037262230695,0.0,-204.17
537,6.82,25.27,172.23,150.0,-1.0,174.18,2.8715729355458786,0.0,-174.18
538,6.79,25.2,171.13,150.0,-1.0,175.3,3.0572856444182146,0.0,-175.3
539,6.79,25.24,171.36,150.0,-1.0,145.89,3.1470576710283598,0.0,-145.89
540,6.76,25.23,170.55,150.0,-1.0,146.58,3.4658288153574364,0.0,-146.58
541,6.82,25.23,171.98,150.0,-1.0,116.29,3.9107310980433807,0.0,-116.29
542,6.76,25.07,169.58,150.0,-1.0,117.94,4.0713664367591305,0.0,-117.94
543,6.76,25.2,170.41,150.0,-1.0,111.49,3.9546765869186435,0.0,-111.49
544,6.79,25.24,171.46,150.0,-1.0,104.98,6.48505812437859,0.0,-104.98
545,6.75,25.02,168.91,150.0,-1.0,106.57,6.667145101801253,0.0,-106.57
546,6.81,25.23,171.73,150.0,-1.0,98.99,6.858764330721243,0.0,-98.99
689,6.7,25.2,168.84,150.0,-1.0,98.9,5.012693841695172,0.0,-98.9
691,6.8,25.2,171.36,150.0,-1.0,105.04,4.696600992784801,0.0,-105.04
692,6.8,25.3,172.04,150.0,-1.0,107.84,3.586249638866042,0.0,-107.84
699,6.8,25.1,170.68,150.0,-1.0,146.47,2.921166050637739,0.0,-146.47
702,6.8,25.2,171.36,150.0,-1.0,116.71,3.705350462885712,0.0,-116.71
705,6.8,25.2,171.36,150.0,-1.0,87.54,6.927546509187432,0.0,-87.54
709,6.8,25.2,171.36,150.0,-1.0,81.2,6.915862009924978,0.0,-81.2
718,6.7,25.3,169.51,150.0,-1.0,117.99,4.1924559385119755,0.0,-117.99
827,6.65,25.29,168.18,150.0,-1.0,134.98,5.8047192407349115,0.0,-134.98
828,6.59,25.32,166.86,150.0,-1.0,224.98,3.915610862661467,0.0,-224.98
829,6.58,25.28,166.34,150.0,-1.0,250.03,3.316808752053022,0.0,-250.03
830,6.66,25.24,168.1,150.0,-1.0,150.0,5.682315690791863,0.0,-150.0
