nr,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,smean
373,6.57,24.84,163.2,150.0,0.0,-85.34,-522.92,0.0,-261.46
378,6.55,24.9,163.1,150.0,-1.0,42.17,258.56,2.225309281725863,0.0
383,6.55,24.55,160.8,150.0,-1.0,41.65,259.01,2.526339277389844,0.0
398,6.54,25.16,164.55,155.0,0.0,-82.54,-501.62,0.0,-250.81
403,6.56,25.02,164.13,155.0,-1.0,32.72,199.35,3.2780673308886628,0.0
495,6.8,25.23,171.56,150.0,0.0,88.85,517.88,0.0,258.94
496,6.75,25.18,169.97,150.0,0.0,88.3,519.52,0.0,259.76
497,6.78,25.23,171.06,150.0,0.0,89.95,525.84,0.0,262.92
498,6.8,25.24,171.63,150.0,0.0,85.91,500.55,0.0,250.275
499,6.78,25.24,171.13,150.0,0.0,90.84,530.83,0.0,265.415
500,6.8,25.22,171.5,150.0,0.0,-70.29,-409.86,0.0,-204.93
501,6.79,25.1,170.43,150.0,0.0,-68.96,-404.63,0.0,-202.315
502,6.78,25.23,171.06,150.0,0.0,-68.81,-402.26,0.0,-201.13
503,6.8,25.21,171.43,150.0,0.0,-69.18,-403.55,0.0,-201.775
504,6.77,25.27,171.08,150.0,0.0,-71.19,-416.13,0.0,-208.065
515,6.6,25.3,166.98,150.0,0.0,88.3,528.81,0.0,264.405
516,6.65,25.37,168.71,150.0,0.0,90.3,535.24,0.0,267.62
517,6.58,25.0,164.5,150.0,0.0,88.7,539.21,0.0,269.605
518,6.58,25.25,166.15,150.0,0.0,89.1,536.28,0.0,268.14
519,6.63,25.21,167.14,150.0,0.0,87.9,525.9,0.0,262.95
520,6.65,25.3,168.25,150.0,0.0,-76.9,-457.07,0.0,-228.535
521,6.61,25.18,166.44,150.0,0.0,-83.0,-498.68,0.0,-249.34
522,6.6,25.26,166.72,150.0,0.0,-83.4,-500.25,0.0,-250.125
523,6.6,25.16,166.06,150.0,0.0,-83.2,-501.04,0.0,-250.52
