nr,Name,Plate,Fibre Volume Fraction,Lab,Laminate ,Cut angle ,Manufacturer,Geometry,Material,taverage,wmax,wmin,waverage,area,Lnominal,Lmeasured,Lgauge,Radius (waist),TG and phase,Phase,start date,end date,Test type,R-value1,Fmax,Ferror,Fstatic,Ffatigue,"Fmax, 90",epsmax,epsstatic,epsfatigue,eps90,eps45,Nu,smax,"smax,static","smax, fatigue",shear strain,shear strength,shear modulus (near other moduli),Torquemax,Torquefatigue,Torquestatic,Ncycles,level,levelcalc,Nspectrum,failure mode,runout,R-value2,Fmax2,epsmax2,smax2,Ncycles2,ratedisplacement,f,f2,Eit,Eic,Eft,Efc,"Elur,front","Elur, back",eps_max_t,eps_max_c,Machine,control,grip,ABG,Temp.,Temp. control,Environment,Reference document,Remarks,Invalid ,Bending ,Buckling ,Overheating,Tab failure ,Delaminated ,Incomplete measurement data ,Strain from E ,LUR,TEC,data delivered under name,Repair characteristics,Strain measurement equipment (long),Strain measurement equipment (short),Grip pressure,time per test
1,GEV201_D0100_0001,GEV02014,#N/B,WMC,UD1,0,LM,D0100,GE1,4.45,,23.28,23.28,103.60,170,,70.00,100.00,P1,P1,05/06/2002,05/06/2002,STC,,-42.72,,-42.72,,,-0.90,-0.90,,,,,-412.37,-412.37,,,,,-9195.07,,,1,,,,c,,,,,,,,,,,44.85,,,,,#DELING.DOOR.0!,-0.0092,,,,n,,,"d, RT",,,,,x,,,,,,,,PD01C01,,,,,0.25
4,GEV201_D0100_0004,GEV02014,#N/B,RISØ,UD1,0,LM,D0100,GE1,4.40,,25.00,25.00,110.00,170,,70.00,100.00,P1,P1,,,,,,,,,,2.00,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,D04,,,,,
6,GEV201_D0100_0006,GEV02014,#N/B,WMC,UD1,0,LM,D0100,GE1,4.50,,23.35,23.35,105.08,170,,70.00,100.00,P1,P1,05/06/2002,05/06/2002,STC,,-42.58,,-42.58,,,-0.89,-0.89,,,,,-405.23,-405.23,,,,,-8839.42,,,1,,,,c,,,,,,,,,,,45.84,,,,,#DELING.DOOR.0!,-0.0088,,,,n,,,"d, RT",,,,,x,,,,,,,,PD01C06,,,,,0.25
9,GEV201_D0100_0009,GEV02014,#N/B,RISØ,UD1,0,LM,D0100,GE1,4.59,,23.15,23.15,106.26,170,,70.00,100.00,P1,P1,,,,0.1,,,,,,0.00,,,,,,,,,,,,#DELING.DOOR.0!,,,295,,,,,,,,,,,,4.00,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,CA invalid,x,,,,,,,,,,D09,,,,,0.02
11,GEV201_D0100_0011,GEV02014,#N/B,WMC,UD1,0,LM,D0100,GE1,4.53,,23.03,23.03,104.21,170,,70.00,100.00,P1,P1,05/06/2002,05/06/2002,STC,,-40.82,,-40.82,,,-0.87,-0.87,,,,,-391.71,-391.71,,,,,-8731.16,,,1,,,,c,,,,,,,,,,,44.86,,,,,#DELING.DOOR.0!,-0.0087,,,,n,,,"d, RT",,,,,x,,,,,,,,PD01C11,,,,,0.25
16,GEV201_D0100_0016,GEV02014,#N/B,WMC,UD1,0,LM,D0100,GE1,4.51,,23.34,23.34,105.26,170,,70.00,100.00,P1,P1,06/06/2002,06/06/2002,STT,,85.50,,85.50,,,2.10,2.10,,,,,812.25,812.25,,,,,18220.83,,,1,,,,t,,,,,,,,,,44.58,,,,,,0.0182,#DELING.DOOR.0!,,,,n,,,"d, RT",,first loaded in compression @-43 kN,,,,,,,,,,,PD01T16,,,,,0.25
19,GEV201_D0100_0019,GEV02014,#N/B,RISØ,UD1,0,LM,D0100,GE1,4.37,,23.25,23.25,101.60,170,,70.00,100.00,P1,P1,,,,,,,,,,,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,D19,,,,,
21,GEV201_D0100_0021,GEV02014,#N/B,WMC,UD1,0,LM,D0100,GE1,4.47,,23.27,23.27,104.02,170,,70.00,100.00,P1,P1,07/06/2002,07/06/2002,CA,-1,30.00,,,30.00,,0.64,,0.64,,,,288.41,,288.41,,,,#WAARDE!,,,791,,0,,,,,,,,,,2.00,,45.02,,,,,,,,,,,n,,,"d, RT",,,,,,,,,,,,,PD01F21,,,,,0.11
26,GEV201_D0100_0026,GEV02014,#N/B,WMC,UD1,0,LM,D0100,GE1,4.52,,23.28,23.28,105.11,170,,70.00,100.00,P1,P1,06/06/2002,06/06/2002,CA,-1,30.00,,,30.00,,0.64,,0.64,,,,285.42,,285.42,,,,#WAARDE!,,,469,,0,,,,,,,,,,2.00,,44.67,,,,,,,,,,,n,,,"d, RT",,,,,,,,,,,,,PD01F26,,,,,0.07
31,GEV201_D0100_0031,GEV02014,#N/B,WMC,UD1,0,LM,D0100,GE1,4.51,,23.35,23.35,105.19,170,,70.00,100.00,P1,P1,06/06/2002,06/06/2002,STT,,90.37,,90.37,,,2.15,2.15,,,,,859.10,859.10,,,,,19128.89,,,1,,,,t,,,,,,,,,,44.91,,,,,,0.0191,#DELING.DOOR.0!,,,,n,,,"d, RT",,,,,,,,,,,,,PD01T31,,,,,0.25
