nr,Fibre Volume Fraction,taverage,waverage,Lnominal,R-value1,Ffatigue,smax,Ncycles,f,Temp.
461,53.31,3.8,25.0,145.0,-1.0,25.0,263.16,1952.0,5.0,27.387671232876706
462,53.31,3.9,25.0,145.0,-1.0,15.0,153.85,2972910.0,5.0,27.387671232876706
463,53.31,3.9,25.0,145.0,-1.0,18.55,190.29,37601.0,5.0,27.387671232876706
464,53.31,3.8,25.0,145.0,0.1,37.11,390.6,17403.0,5.0,27.387671232876706
465,53.31,3.8,25.0,145.0,0.1,32.47,341.77,43033.0,5.0,27.387671232876706
466,53.31,3.8,25.0,145.0,0.1,27.83,292.95,226935.0,5.0,27.387671232876706
467,53.31,3.8,25.0,145.0,0.1,23.19,244.12,977128.0,5.0,27.387671232876706
468,53.31,3.8,25.0,145.0,-1.0,20.0,210.53,37153.0,5.0,27.387671232876706
469,53.31,3.8,25.0,145.0,0.1,32.47,341.77,23612.0,5.0,27.387671232876706
547,52.55,3.74,24.84,145.0,-1.0,20.0,215.28,17370.0,5.0,27.387671232876706
548,52.55,3.92,24.71,145.0,-1.0,25.0,258.1,985.0,5.0,27.387671232876706
549,52.55,3.78,24.88,145.0,-1.0,25.0,265.83,1458.0,5.0,27.387671232876706
551,52.55,3.7,24.99,145.0,-1.0,19.7,213.06,172044.0,5.0,27.387671232876706
552,52.55,3.74,24.8,145.0,-1.0,22.85,246.36,2566.0,5.0,31.4
553,52.55,3.66,24.8,145.0,-1.0,34.4,378.99,2050.0,5.0,34.4
554,52.55,3.7,25.03,145.0,-1.0,18.1,195.44,844145.0,5.0,35.4
555,50.87,3.65,24.75,145.0,-1.0,18.0,199.25,409950.0,5.0,27.387671232876706
556,50.87,3.72,24.8,145.0,-1.0,27.49,297.98,102733.0,5.0,27.387671232876706
557,50.87,3.71,24.78,145.0,-1.0,24.9,270.85,898.0,5.0,31.4
558,50.87,3.65,24.77,145.0,-1.0,21.97,243.03,92160.0,5.0,32.8
559,50.87,3.7,24.83,145.0,-1.0,36.71,399.54,795.0,5.0,27.4
560,50.87,3.73,24.8,145.0,-1.0,28.1,303.78,1067.0,5.0,30.6
561,50.87,3.64,24.83,145.0,-1.0,31.49,348.46,801.0,5.0,29.0
562,50.87,3.73,24.71,145.0,-1.0,30.62,332.17,480.0,5.0,35.8
647,53.31,3.8,25.0,145.0,-1.0,25.0,263.16,1915.0,5.0,27.387671232876706
649,53.31,3.8,25.1,145.0,-1.0,18.0,188.72,61583.0,5.0,27.387671232876706
650,53.31,3.8,25.0,145.0,-1.0,20.0,210.53,25909.0,5.0,27.387671232876706
651,53.31,3.8,25.1,145.0,-1.0,20.0,209.69,34434.0,5.0,27.387671232876706
653,53.31,3.8,25.0,145.0,-1.0,25.0,263.16,918.0,5.0,27.387671232876706
654,53.31,3.8,25.0,145.0,-1.0,18.0,189.47,147344.0,5.0,27.387671232876706
659,52.32,3.7,24.7,145.0,-1.0,27.83,304.52,427.0,5.0,27.387671232876706
660,52.32,3.7,24.9,145.0,-1.0,16.7,181.24,637624.0,5.0,27.387671232876706
661,52.32,3.7,24.4,145.0,-1.0,23.19,256.89,2440.0,5.0,27.387671232876706
662,52.32,3.7,24.7,145.0,-1.0,23.19,253.77,2306.0,5.0,27.387671232876706
665,52.32,3.7,24.8,145.0,-1.0,16.7,181.98,681605.0,5.0,27.387671232876706
668,52.32,3.7,25.0,145.0,-1.0,32.47,351.01,2702.0,1.0,27.387671232876706
669,52.32,3.8,24.8,145.0,-1.0,23.19,246.09,3576.0,5.0,27.387671232876706
670,52.32,3.7,24.7,145.0,-1.0,30.0,328.26,2305.0,1.0,27.387671232876706
673,52.32,3.75,24.9,145.0,-1.0,18.55,198.7,454761.0,5.0,27.387671232876706
677,50.66,3.8,24.7,145.0,-1.0,27.83,296.51,21637.0,1.0,27.387671232876706
683,50.66,3.8,24.8,145.0,-1.0,16.7,177.19,741879.0,5.0,27.387671232876706
686,50.66,3.8,24.8,145.0,-1.0,15.0,159.17,2551489.0,5.0,27.387671232876706
891,53.31,3.85,25.37,145.0,10.0,-50.0,-511.47,2.0,2.8,27.387671232876706
892,53.31,3.78,25.08,145.0,10.0,-40.0,-421.56,1000000.0,1.7,27.387671232876706
893,53.31,3.79,25.22,145.0,10.0,-38.0,-397.9,301530.0,4.85,49.5
894,53.31,3.81,25.62,145.0,10.0,-45.0,-461.01,295.0,4.0,28.0
895,53.31,3.74,25.38,145.0,10.0,-40.0,-421.4,120285.0,4.5,27.387671232876706
896,53.31,3.74,25.5,145.0,10.0,-42.0,-440.78,5869.0,4.7,34.4
