Wisper stresses;Cycles Optidat ;Final results CLD;Final results NN;;;;;;;;;;;;;;
330,020723;1,2469;0,421326336;4,122107251;;;;;;;;;;;;;;
324,9779508;16,66;0,476813372;4,631978199;;;;;;;;;;;;;;
334,6890675;1,428;0,376715631;3,708863162;;;;;;;;;;;;;;
322,1161648;3,64;0,512325049;4,953466677;;;;;;;;;;;;;;
286,3767389;7,28;1,497984776;11,32285117;;;;;;;;;;;;;;
248,89;86,17391173;6,789271538;26,61168378;;;;;;;;;;;;;;
262,72;37,98546466;3,74229973;18,8806431;;;;;;;;;;;;;;
282,81;6,133274559;1,703886986;12,22771341;;;;;;;;;;;;;;
267,21;53,20686303;3,11273685;17,07899534;;;;;;;;;;;;;;
354,99;3,473668347;0,235558148;2,418001505;;;;;;;;;;;;;;
356,19;4,212476735;0,229227904;2,361354496;;;;;;;;;;;;;;
280,85;92,6214029;1,831641069;12,75097555;;;;;;;;;;;;;;
354,64;6,530905501;0,237438791;2,434850551;;;;;;;;;;;;;;
355,15;6,220531832;0,234703643;2,410348859;;;;;;;;;;;;;;
284,50;73,13032831;1,6022857;11,79166662;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
L1;Mean error;25,2;19,7;;;;;;;;;;;;;;
L2;MSE;1584.8;1040;;;;;;;;;;;;;;
L3;Max error;90.8;79.8;;;;;;;;;;;;;;
L4;Relative error;0,945132962;0,738853943;;;;;;;;;;;;;;
Wisper X;Results ;Final results CLD;Final results NN;;;;;;;;;;;;;;
287,4728191;10,97007248;1,441047579;11,53052756;;;;;;;;;;;;;;
289,8335315;9,303561687;1,327090947;10,93784775;;;;;;;;;;;;;;
324,3892671;5,361390383;0,483892103;4,824699703;;;;;;;;;;;;;;
363,6133094;2,447198192;0,193821762;2,084127482;;;;;;;;;;;;;;
279,7222718;17,1657704;1,910505739;13,67005166;;;;;;;;;;;;;;
287,3877785;12,4482893;1,445376964;11,55235465;;;;;;;;;;;;;;
367,0357938;1,296157743;0,179444905;1,952953537;;;;;;;;;;;;;;
