nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,R-value1,Fmax,Ncycles,f,E,Temp.,ftens,fcomp
461,53.31,0.0,3.8,25.0,-1.0,25.0,3.290479813330673,5.0,38.900000000000006,28.299625468164795,73.74,-46.51
462,53.31,0.0,3.9,25.0,-1.0,15.0,6.473181761847048,5.0,37.55,28.299625468164795,75.7,-46.88
468,53.31,0.0,3.8,25.0,-1.0,20.0,4.569993887567447,5.0,37.65,28.299625468164795,73.74,-46.51
469,53.31,0.0,3.8,25.0,0.1,32.47,4.373132774549157,5.0,38.22,28.299625468164795,73.74,-46.51
547,52.55,0.0,3.74,24.84,-1.0,20.0,4.239799818447099,5.0,38.019999999999996,31.42941176470588,84.58,-40.68
548,52.55,0.0,3.92,24.71,-1.0,25.0,2.9934362304976116,5.0,36.57,31.42941176470588,75.7,-52.09
549,52.55,0.0,3.78,24.88,-1.0,25.0,3.163757523981956,5.0,39.095,31.42941176470588,76.6,-43.04
647,53.31,0.0,3.8,25.0,-1.0,25.0,3.2821687783046416,5.0,37.25,28.299625468164795,73.74,-46.51
650,53.31,0.0,3.8,25.0,-1.0,20.0,4.413450651007325,5.0,37.55,28.299625468164795,73.74,-46.51
651,53.31,0.0,3.8,25.1,-1.0,20.0,4.536987475130602,5.0,37.75,28.299625468164795,75.08,-46.51
653,53.31,0.0,3.8,25.0,-1.0,25.0,2.9628426812012423,5.0,37.35,28.299625468164795,73.74,-46.51
654,53.31,0.0,3.8,25.0,-1.0,18.0,5.168332455625744,5.0,37.5,28.299625468164795,73.74,-46.51
659,52.32,0.0,3.7,24.7,-1.0,27.83,2.630427875025024,5.0,37.945,28.299625468164795,71.58,-40.68
660,52.32,0.0,3.7,24.9,-1.0,16.7,5.804564655426015,5.0,39.195,28.299625468164795,73.81,-40.68
661,52.32,0.0,3.7,24.4,-1.0,23.19,3.387389826338729,5.0,39.099999999999994,28.299625468164795,71.44,-40.68
662,52.32,0.0,3.7,24.7,-1.0,23.19,3.36285930295868,5.0,39.335,28.299625468164795,71.58,-40.68
665,52.32,0.0,3.7,24.8,-1.0,16.7,5.833532767592629,5.0,38.635000000000005,28.299625468164795,73.38,-40.68
668,52.32,0.0,3.7,25.0,-1.0,32.47,3.4316853446860116,1.0,39.379999999999995,28.299625468164795,86.13,-40.68
669,52.32,0.0,3.8,24.8,-1.0,23.19,3.55339751012388,5.0,37.480000000000004,28.299625468164795,76.6,-43.04
670,52.32,0.0,3.7,24.7,-1.0,30.0,3.362670929725667,1.0,38.55,28.299625468164795,71.58,-40.68
673,52.32,0.0,3.75,24.9,-1.0,18.55,5.65778321280759,5.0,38.405,28.299625468164795,76.6,-43.04
677,50.66,0.0,3.8,24.7,-1.0,27.83,4.335197045077562,1.0,38.22,28.299625468164795,76.46,-42.48
