nr,Fibre Volume Fraction,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
535,53.04,6.75,25.29,170.62,-1.0,45.0,263.74,2.423245873936808,5.0,25.855,31.42941176470588,504.58,86.36,-416.13,-71.19
536,53.04,6.8,25.21,171.43,-1.0,35.0,204.17,2.6464037262230695,5.0,26.134999999999998,31.42941176470588,522.29,89.5,-403.55,-69.18
537,53.04,6.82,25.27,172.23,-1.0,30.0,174.18,2.8715729355458786,5.0,24.605,31.42941176470588,522.0,90.19,-459.12,-78.99
538,53.04,6.79,25.2,171.13,-1.0,30.0,175.3,3.0572856444182146,5.0,25.57,31.42941176470588,522.29,89.5,-402.76,-68.83
539,53.04,6.79,25.24,171.36,-1.0,25.0,145.89,3.1470576710283598,5.0,25.925,31.42941176470588,500.55,85.91,-450.42,-77.33
540,53.04,6.76,25.23,170.55,-1.0,25.0,146.58,3.4658288153574364,5.0,25.784999999999997,31.42941176470588,508.17,86.94,-402.26,-68.81
541,53.04,6.82,25.23,171.98,-1.0,20.0,116.29,3.9107310980433807,5.0,27.1,31.42941176470588,517.88,88.85,-450.42,-77.33
542,53.04,6.76,25.07,169.58,-1.0,20.0,117.94,4.0713664367591305,5.0,26.055,31.42941176470588,519.52,88.3,-404.63,-68.96
543,53.04,6.76,25.2,170.41,-1.0,19.0,111.49,3.9546765869186435,5.0,27.515,31.42941176470588,519.52,88.3,-491.53,-83.51
544,53.04,6.79,25.24,171.46,-1.0,18.0,104.98,6.48505812437859,5.0,25.405,31.42941176470588,500.55,85.91,-450.42,-77.33
545,53.04,6.75,25.02,168.91,-1.0,18.0,106.57,6.667145101801253,5.0,26.52,31.42941176470588,519.52,88.3,-491.53,-83.51
546,53.04,6.81,25.23,171.73,-1.0,17.0,98.99,6.858764330721243,5.0,26.795,31.42941176470588,517.88,88.85,-450.42,-77.33
689,53.04,6.7,25.2,168.84,-1.0,16.7,98.9,5.012693841695172,5.0,25.14,28.299625468164795,497.51,84.0,-467.82,-78.99
691,53.04,6.8,25.2,171.36,-1.0,18.0,105.04,4.696600992784801,5.0,26.15,28.299625468164795,522.29,89.5,-465.09,-79.7
