nr,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,smean
373,6.57,24.84,163.2,150.0,0.0,-85.34,-522.92,0.0,-261.46
398,6.54,25.16,164.55,155.0,0.0,-82.54,-501.62,0.0,-250.81
500,6.8,25.22,171.5,150.0,0.0,-70.29,-409.86,0.0,-204.93
501,6.79,25.1,170.43,150.0,0.0,-68.96,-404.63,0.0,-202.315
502,6.78,25.23,171.06,150.0,0.0,-68.81,-402.26,0.0,-201.13
503,6.8,25.21,171.43,150.0,0.0,-69.18,-403.55,0.0,-201.775
504,6.77,25.27,171.08,150.0,0.0,-71.19,-416.13,0.0,-208.065
520,6.65,25.3,168.25,150.0,0.0,-76.9,-457.07,0.0,-228.535
521,6.61,25.18,166.44,150.0,0.0,-83.0,-498.68,0.0,-249.34
522,6.6,25.26,166.72,150.0,0.0,-83.4,-500.25,0.0,-250.125
523,6.6,25.16,166.06,150.0,0.0,-83.2,-501.04,0.0,-250.52
524,6.63,25.21,167.14,150.0,0.0,-79.3,-474.45,0.0,-237.225
530,6.64,25.18,167.2,150.0,0.0,-85.0,-508.39,0.0,-254.195
531,6.62,25.16,166.56,150.0,0.0,-84.0,-504.33,0.0,-252.165
532,6.54,25.16,164.55,150.0,0.0,-78.0,-474.03,0.0,-237.015
533,6.6,25.2,166.32,150.0,0.0,-86.0,-517.08,0.0,-258.54
534,6.56,25.2,165.31,150.0,0.0,-89.1,-538.98,0.0,-269.49
627,6.704,10.161,68.12,126.0,0.0,-34.6,-507.86,0.0,-253.93
628,6.87,10.323,70.92,126.0,0.0,-35.43,-499.51,0.0,-249.755
629,6.745,10.241,69.08,126.0,0.0,-32.72,-473.61,0.0,-236.805
630,6.655,10.149,67.54,126.0,0.0,-34.57,-511.83,0.0,-255.915
631,6.78,10.191,69.09,126.0,0.0,-36.08,-522.24,0.0,-261.12
632,6.787,10.279,69.76,126.0,0.0,-34.6,-495.89,0.0,-247.945
633,6.805,10.184,69.3,126.0,0.0,-36.35,-524.56,0.0,-262.28
634,6.821,10.308,70.31,126.0,0.0,-34.74,-494.11,0.0,-247.055
635,6.847,10.277,70.37,126.0,0.0,-30.2,-429.18,0.0,-214.59
688,6.6,25.2,166.32,150.0,0.0,-79.84,-480.04,0.0,-240.02
693,6.8,25.2,171.36,150.0,0.0,-79.7,-465.09,0.0,-232.545
696,6.7,25.3,169.51,150.0,0.0,-83.5,-492.62,0.0,-246.31
697,6.8,25.3,172.04,150.0,0.0,-78.99,-459.12,0.0,-229.56
698,6.7,25.2,168.84,150.0,0.0,-78.99,-467.82,0.0,-233.91
700,6.8,25.1,170.68,150.0,0.0,-77.28,-452.77,0.0,-226.385
703,6.9,25.1,173.19,150.0,0.0,-83.75,-483.56,0.0,-241.78
710,6.9,25.2,173.88,150.0,0.0,-79.72,-458.47,0.0,-229.235
712,6.7,25.3,169.51,150.0,0.0,-77.64,-458.05,0.0,-229.025
715,6.7,25.3,169.51,150.0,0.0,-79.72,-470.29,0.0,-235.145
725,6.7,25.3,169.51,150.0,0.0,-79.58,-469.5,0.0,-234.75
733,6.6,25.2,166.32,150.0,0.0,-78.76,-473.54,0.0,-236.77
736,6.6,25.2,166.32,150.0,0.0,-79.99,-480.96,0.0,-240.48
739,6.6,25.1,165.66,150.0,0.0,-77.03,-465.01,0.0,-232.505
744,6.6,25.3,166.98,150.0,0.0,-78.85,-472.22,0.0,-236.11
745,6.75,25.3,170.78,150.0,0.0,-79.18,-463.64,0.0,-231.82
747,6.5,25.3,164.45,150.0,0.0,-79.6,-484.02,0.0,-242.01
749,6.6,29.53,194.9,150.0,0.0,-76.73,-393.7,0.0,-196.85
991,6.55,25.41,166.49,150.0,0.0,-74.2,-445.67,0.0,-222.835
992,6.84,25.31,173.2,150.0,0.0,-77.34,-446.55,0.0,-223.275
993,6.73,25.1,168.9,150.0,0.0,-76.47,-452.75,0.0,-226.375
994,6.92,25.1,173.75,150.0,0.0,-74.92,-431.2,0.0,-215.6
995,6.83,25.26,172.47,150.0,0.0,-76.54,-443.79,0.0,-221.895
996,6.85,25.38,173.76,150.0,0.0,-76.86,-442.34,0.0,-221.17
1201,6.79,25.18,170.9,150.0,0.0,-68.83,-402.76,0.0,-201.38
1202,6.7,25.3,169.56,150.0,0.0,-72.79,-429.29,0.0,-214.645
1203,6.8,25.24,171.68,150.0,0.0,-77.33,-450.42,0.0,-225.21
1204,6.68,25.23,168.44,150.0,0.0,-79.53,-472.17,0.0,-236.085
1205,6.74,25.2,169.9,150.0,0.0,-83.51,-491.53,0.0,-245.765
1675,6.52,25.35,165.28,150.0,10.0,-44.87,-271.48,4.873558904211726,-149.31400000000002
1676,6.63,25.38,168.27,150.0,10.0,-49.49,-294.11,3.743352951409556,-161.7605
1677,6.37,25.04,159.5,150.0,10.0,-44.32,-277.86,5.942633482854105,-152.823
1678,6.55,25.07,164.21,150.0,10.0,-48.89,-297.73,4.436194462320936,-163.75150000000002
1679,6.64,25.3,167.99,150.0,10.0,-49.33,-293.64,4.731492065483537,-161.502
1680,6.57,25.15,165.24,150.0,10.0,-56.09,-339.45,3.2979792441593623,-186.69750000000002
1681,6.58,25.23,166.01,150.0,10.0,-44.66,-269.01,5.866856571153084,-147.9555
1682,6.63,25.32,167.87,150.0,10.0,-49.37,-294.09,4.319647288183423,-161.7495
1683,6.6,25.32,167.11,150.0,10.0,-56.34,-337.14,3.187520720836463,-185.42700000000002
1684,6.64,25.28,167.86,150.0,10.0,-44.48,-264.98,6.676219009391319,-145.73900000000003
1685,6.59,25.19,166.0,150.0,10.0,-53.95,-325.0,3.362293937964231,-178.75000000000003
