nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,f,E,Temp.
442,53.31,0.0,3.81,24.96,95.1,145.0,1.0,75.64,795.39,0.0,0.0,36.63,27.59130434782608
443,53.31,0.0,3.8,25.28,96.06,145.0,1.0,76.49,796.24,0.0,0.0,38.13,27.59130434782608
444,53.31,0.0,3.78,25.2,95.26,145.0,1.0,74.9,786.3,0.0,0.0,37.36,27.59130434782608
445,53.31,0.0,3.85,25.24,97.17,145.0,1.0,-38.23,-393.42,0.0,0.0,36.87,27.59130434782608
446,53.31,0.0,3.77,25.2,95.0,145.0,1.0,-37.77,-397.56,0.0,0.0,37.36,27.59130434782608
447,53.31,0.0,3.83,25.18,96.44,145.0,1.0,-45.58,-472.63,0.0,0.0,39.05,27.59130434782608
448,53.31,0.0,3.84,25.24,96.92,145.0,1.0,75.33,777.23,0.0,0.0,38.02,27.59130434782608
449,53.31,0.0,3.8,25.15,95.57,145.0,1.0,75.9,794.18,0.0,0.0,37.6,27.59130434782608
450,53.31,0.0,3.8,25.17,95.65,145.0,1.0,74.42,778.08,0.0,0.0,37.0,27.59130434782608
451,53.31,0.0,3.82,25.26,96.49,145.0,1.0,-45.65,-473.09,0.0,0.0,38.13,27.59130434782608
452,53.31,0.0,3.83,25.24,96.67,145.0,1.0,-47.56,-491.99,0.0,0.0,38.59,27.59130434782608
453,53.31,0.0,3.81,25.18,95.94,145.0,1.0,-46.71,-486.89,0.0,0.0,38.73,27.59130434782608
454,53.31,0.0,3.8,24.9,94.62,145.0,1.0,-47.73,-504.44,0.0,0.0,38.3,28.12142857142857
455,53.31,0.0,3.8,25.0,95.0,145.0,1.0,-46.51,-489.61,0.0,0.0,38.4,28.12142857142857
456,53.31,0.0,3.8,25.0,95.0,145.0,1.0,-45.66,-480.62,0.0,0.0,37.2,28.12142857142857
457,53.31,0.0,3.8,25.0,95.0,145.0,1.0,-46.39,-488.33,0.0,0.0,37.4,28.12142857142857
458,53.31,0.0,3.9,25.1,97.89,145.0,1.0,-46.88,-478.89,0.0,0.0,37.7,28.12142857142857
459,53.31,0.0,3.9,25.1,97.89,145.0,1.0,-48.34,-493.86,0.0,0.0,43.7,28.12142857142857
460,53.31,0.0,3.9,25.0,97.5,145.0,1.0,75.7,776.41,0.0,0.0,37.8,28.12142857142857
461,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,25.0,263.16,3.290479813330673,5.0,38.900000000000006,28.12142857142857
462,53.31,0.0,3.9,25.0,97.5,145.0,-1.0,15.0,153.85,6.473181761847048,5.0,37.55,28.12142857142857
468,53.31,0.0,3.8,25.0,95.0,145.0,-1.0,20.0,210.53,4.569993887567447,5.0,37.65,28.12142857142857
