nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,Fmax,smax,E
442,53.31,0.0,3.81,24.96,95.1,145.0,75.64,795.39,36.63
443,53.31,0.0,3.8,25.28,96.06,145.0,76.49,796.24,38.13
444,53.31,0.0,3.78,25.2,95.26,145.0,74.9,786.3,37.36
445,53.31,0.0,3.85,25.24,97.17,145.0,-38.23,-393.42,36.87
446,53.31,0.0,3.77,25.2,95.0,145.0,-37.77,-397.56,37.36
447,53.31,0.0,3.83,25.18,96.44,145.0,-45.58,-472.63,39.05
448,53.31,0.0,3.84,25.24,96.92,145.0,75.33,777.23,38.02
449,53.31,0.0,3.8,25.15,95.57,145.0,75.9,794.18,37.6
450,53.31,0.0,3.8,25.17,95.65,145.0,74.42,778.08,37.0
451,53.31,0.0,3.82,25.26,96.49,145.0,-45.65,-473.09,38.13
452,53.31,0.0,3.83,25.24,96.67,145.0,-47.56,-491.99,38.59
453,53.31,0.0,3.81,25.18,95.94,145.0,-46.71,-486.89,38.73
454,53.31,0.0,3.8,24.9,94.62,145.0,-47.73,-504.44,38.3
455,53.31,0.0,3.8,25.0,95.0,145.0,-46.51,-489.61,38.4
456,53.31,0.0,3.8,25.0,95.0,145.0,-45.66,-480.62,37.2
457,53.31,0.0,3.8,25.0,95.0,145.0,-46.39,-488.33,37.4
458,53.31,0.0,3.9,25.1,97.89,145.0,-46.88,-478.89,37.7
459,53.31,0.0,3.9,25.1,97.89,145.0,-48.34,-493.86,43.7
460,53.31,0.0,3.9,25.0,97.5,145.0,75.7,776.41,37.8
471,53.31,0.0,3.77,25.21,95.04,145.0,78.3,823.85,39.38
472,53.31,0.0,3.77,25.3,95.38,145.0,76.3,799.95,38.45
473,53.31,0.0,3.74,25.13,93.99,145.0,78.4,834.17,39.97
474,53.31,0.0,3.68,25.34,93.25,145.0,76.8,823.58,39.3
475,53.31,0.0,3.65,25.1,91.62,145.0,78.4,855.76,39.33
476,53.31,0.0,3.71,25.25,93.68,145.0,-52.6,-561.5,37.91
477,53.31,0.0,3.59,25.2,90.47,145.0,-51.2,-565.95,38.85
478,53.31,0.0,3.73,25.2,94.0,145.0,-53.3,-567.05,33.24
479,53.31,0.0,3.7,25.17,93.13,145.0,-51.7,-555.14,38.09
480,53.31,0.0,3.7,25.33,93.72,145.0,-51.9,-553.77,39.4
505,53.31,0.0,3.7,25.05,92.69,145.0,79.9,862.06,39.16
506,53.31,0.0,3.65,25.0,91.25,145.0,78.9,864.66,38.88
507,53.31,0.0,3.7,25.1,92.87,145.0,78.1,840.96,38.78
508,53.31,0.0,3.7,25.25,93.43,145.0,76.1,814.56,39.19
509,53.31,0.0,3.75,25.0,93.75,145.0,75.9,809.6,39.09
510,53.31,0.0,3.7,25.15,93.06,145.0,-55.8,-599.65,38.67
511,53.31,0.0,3.7,25.05,92.69,145.0,-51.3,-553.49,38.5
512,53.31,0.0,3.7,25.15,93.06,145.0,-55.0,-591.05,38.33
513,53.31,0.0,3.65,25.1,91.62,145.0,-57.5,-627.63,39.44
514,53.31,0.0,3.7,25.2,93.24,145.0,-53.1,-569.5,39.71
573,51.64,90.0,3.73,24.85,92.69,300.0,5.05,54.48,12.85
574,51.64,90.0,3.85,24.99,96.21,300.0,5.43,56.49,12.37
575,51.64,90.0,3.8,25.0,95.0,300.0,5.21,54.89,16.22
576,51.64,90.0,3.73,24.9,92.88,300.0,4.93,53.1,13.81
577,51.64,90.0,3.71,24.92,92.45,300.0,4.75,51.34,13.05
578,51.64,90.0,3.81,24.75,94.3,300.0,5.23,55.51,13.78
579,51.64,90.0,3.69,24.87,91.77,300.0,5.01,54.59,13.14
580,51.64,90.0,3.69,24.96,92.1,300.0,5.38,58.42,14.07
581,51.64,90.0,3.67,24.87,91.27,300.0,5.49,60.18,14.53
582,51.64,90.0,3.75,25.0,93.75,300.0,4.91,52.34,13.77
583,51.64,90.0,3.77,24.91,93.91,300.0,5.14,54.75,14.3
585,53.11,0.0,3.736,10.265,38.35,126.0,-25.42,-662.71,40.99
586,53.11,0.0,3.649,10.162,37.08,126.0,-28.86,-778.21,39.14
587,53.11,0.0,3.801,10.281,39.08,126.0,-25.02,-640.36,39.27
588,53.11,0.0,3.712,10.197,37.85,126.0,-17.18,-453.75,42.98
589,53.11,0.0,3.808,10.117,38.53,126.0,-27.22,-706.6,39.13
590,53.11,0.0,3.765,10.139,38.17,126.0,-26.69,-699.05,39.49
591,53.11,0.0,3.658,10.269,37.56,126.0,-24.71,-657.73,39.76
592,53.11,0.0,3.667,10.292,37.74,126.0,-26.0,-688.94,40.75
593,53.11,0.0,3.708,10.159,37.67,126.0,-27.17,-721.35,39.44
594,53.11,0.0,3.791,10.248,38.85,126.0,-22.19,-571.22,37.94
595,52.73,90.0,3.77,9.78,36.87,126.0,-6.37,-172.66,15.51
596,52.73,90.0,3.78,9.88,37.35,126.0,-5.83,-156.08,14.6
597,52.73,90.0,3.78,9.95,37.61,126.0,-6.54,-173.81,14.72
598,52.73,90.0,3.92,10.07,39.47,126.0,-6.0,-152.0,13.83
599,52.73,90.0,3.81,9.82,37.41,126.0,-6.09,-162.64,13.93
600,52.73,90.0,3.76,9.9,37.22,126.0,-6.31,-169.54,14.45
601,52.73,90.0,3.93,9.93,39.02,126.0,-6.09,-155.93,13.62
602,52.73,90.0,3.95,9.83,38.83,126.0,-6.31,-162.54,13.82
603,52.73,90.0,3.91,9.84,38.47,126.0,-5.96,-154.99,13.36
604,52.73,90.0,3.79,9.85,37.33,126.0,-6.29,-168.57,14.15
648,53.31,0.0,3.8,25.0,95.0,145.0,73.74,776.18,38.2
652,53.31,0.0,3.8,25.1,95.38,145.0,75.08,787.17,36.2
655,50.81,0.0,3.7,24.7,91.39,145.0,-43.32,-474.04,38.96
656,50.81,0.0,3.7,25.0,92.5,145.0,-42.3,-457.32,39.43
657,50.81,0.0,3.7,24.8,91.76,145.0,-42.7,-465.34,38.9
658,52.32,0.0,3.8,24.8,94.24,145.0,-43.04,-456.75,37.76
663,52.32,0.0,3.8,24.5,93.1,145.0,67.9,729.31,37.01
664,52.32,0.0,3.8,24.7,93.86,145.0,79.31,845.02,39.33
666,52.32,0.0,3.8,24.8,94.24,145.0,-41.94,-445.08,38.41
667,52.32,0.0,3.7,24.8,91.76,145.0,-40.68,-443.29,39.52
671,52.32,0.0,3.8,24.8,94.24,145.0,-41.0,-435.06,37.97
672,52.32,0.0,3.8,24.6,93.48,145.0,-41.49,-443.86,38.41
674,52.32,0.0,3.8,24.8,94.24,145.0,76.6,812.77,39.61
675,50.66,0.0,3.9,24.6,95.94,145.0,76.06,792.76,36.3
679,50.66,0.0,3.7,24.7,91.39,145.0,72.57,794.02,38.03
681,50.66,0.0,3.8,24.8,94.24,145.0,76.46,811.34,37.85
