nr,smax,Ncycles,smean
378,258.56,2.225309281725863,0.0
383,259.01,2.526339277389844,0.0
403,199.35,3.2780673308886628,0.0
495,517.88,0.0,258.94
496,519.52,0.0,259.76
497,525.84,0.0,262.92
498,500.55,0.0,250.275
499,530.83,0.0,265.415
515,528.81,0.0,264.405
516,535.24,0.0,267.62
517,539.21,0.0,269.605
518,536.28,0.0,268.14
519,525.9,0.0,262.95
525,543.94,0.0,271.97
526,578.02,0.0,289.01
527,574.52,0.0,287.26
528,551.46,0.0,275.73
529,547.7,0.0,273.85
535,263.74,2.423245873936808,0.0
536,204.17,2.646403726223069,0.0
537,174.18,2.8715729355458786,0.0
538,175.3,3.0572856444182146,0.0
539,145.89,3.14705767102836,0.0
540,146.58,3.4658288153574364,0.0
541,116.29,3.9107310980433807,0.0
542,117.94,4.0713664367591305,0.0
543,111.49,3.954676586918644,0.0
544,104.98,6.48505812437859,0.0
545,106.57,6.667145101801253,0.0
546,98.99,6.858764330721243,0.0
605,544.3,0.0,272.15
606,561.36,0.0,280.68
607,564.0,0.0,282.0
608,523.43,0.0,261.715
609,545.99,0.0,272.995
610,572.26,0.0,286.13
611,468.98,0.0,234.49
612,585.63,0.0,292.815
613,458.99,0.0,229.495
614,536.03,0.0,268.015
689,98.9,5.012693841695172,0.0
690,497.51,0.0,248.755
691,105.04,4.696600992784801,0.0
692,107.84,3.586249638866042,0.0
694,509.27,0.0,254.635
695,517.65,0.0,258.825
699,146.47,2.921166050637739,0.0
701,522.29,0.0,261.145
702,116.71,3.705350462885712,0.0
704,522.92,0.0,261.46
705,87.54,6.927546509187432,0.0
706,522.55,0.0,261.275
707,550.23,0.0,275.115
708,536.51,0.0,268.255
709,81.2,6.915862009924978,0.0
718,117.99,4.192455938511976,0.0
723,547.35,0.0,273.675
728,534.53,0.0,267.265
730,549.35,0.0,274.675
827,134.98,5.804719240734912,0.0
828,224.98,3.915610862661467,0.0
829,250.03,3.316808752053022,0.0
830,150.0,5.682315690791863,0.0
831,134.99,5.816593896764794,0.0
832,134.99,5.866397228273814,0.0
833,175.0,5.041001644129642,0.0
834,124.39,6.321900695279774,0.0
835,184.98,4.756164288860081,0.0
836,250.01,3.4163075870598827,0.0
837,200.0,4.211947743679434,0.0
838,185.03,4.774283332755715,0.0
839,250.01,3.185825359612962,0.0
840,184.98,4.689681712690806,0.0
876,577.6,0.0,288.8
877,517.42,0.0,258.71
880,555.98,0.0,277.99
882,477.26,0.0,238.63
986,525.91,0.0,262.955
987,511.17,0.0,255.585
988,520.32,0.0,260.16
989,520.81,0.0,260.405
990,513.61,0.0,256.805
