nr,smax,Ncycles,smean
1,-412.37,0.0,-206.185
6,-405.23,0.0,-202.615
11,-391.71,0.0,-195.855
16,812.25,0.0,406.125
21,288.41,2.8981764834976764,0.0
26,285.42,2.671172842715084,0.0
31,859.1,0.0,429.55
41,879.47,0.0,439.735
46,-470.5,0.0,-235.25
51,841.84,0.0,420.92
56,-505.91,0.0,-252.955
61,-593.44,0.0,-296.72
66,751.74,0.0,375.87
71,306.99,4.135291704475752,0.0
76,262.27,4.386052848940389,0.0
247,768.15,0.0,384.075
248,-523.64,0.0,-261.82
252,-461.06,0.0,-230.53
253,207.96,5.27894099287388,0.0
257,-459.35,0.0,-229.675
258,254.86,3.568319085095112,0.0
262,231.07,4.08536194368613,0.0
263,259.92,3.8884041677370464,0.0
277,230.85,4.798795616224465,0.0
278,-451.04,0.0,-225.52
282,-440.17,0.0,-220.085
283,259.95,3.36417563277062,0.0
287,-484.12,0.0,-242.06
288,260.93,3.1383026981662816,0.0
292,801.18,0.0,400.59
293,260.0,4.065467672465651,0.0
307,791.68,0.0,395.84
308,-519.16,0.0,-259.58
312,-426.8,0.0,-213.4
313,389.92,2.143014800254095,0.0
317,-419.38,0.0,-209.69
322,227.46,4.786353846576918,0.0
323,259.79,3.2579184503140586,0.0
442,795.39,0.0,397.695
443,796.24,0.0,398.12
444,786.3,0.0,393.15
445,-393.42,0.0,-196.71
446,-397.56,0.0,-198.78
447,-472.63,0.0,-236.315
448,777.23,0.0,388.615
449,794.18,0.0,397.09
450,778.08,0.0,389.04
451,-473.09,0.0,-236.545
452,-491.99,0.0,-245.995
453,-486.89,0.0,-243.445
454,-504.44,0.0,-252.22
455,-489.61,0.0,-244.805
456,-480.62,0.0,-240.31
457,-488.33,0.0,-244.165
458,-478.89,0.0,-239.445
459,-493.86,0.0,-246.93
460,776.41,0.0,388.205
461,263.16,3.290479813330673,0.0
462,153.85,6.473181761847048,0.0
463,190.29,4.575199395159225,0.0
464,390.6,4.24062412018726,214.83000000000004
465,341.77,4.633801623517603,187.9735
466,292.95,5.3559014819344775,161.1225
467,244.12,5.989951458347746,134.26600000000002
468,210.53,4.569993887567447,0.0
469,341.77,4.373132774549157,187.9735
471,823.85,0.0,411.925
472,799.95,0.0,399.975
473,834.17,0.0,417.085
474,823.58,0.0,411.79
475,855.76,0.0,427.88
476,-561.5,0.0,-280.75
477,-565.95,0.0,-282.975
478,-567.05,0.0,-283.525
479,-555.14,0.0,-277.57
480,-553.77,0.0,-276.885
505,862.06,0.0,431.03
506,864.66,0.0,432.33
507,840.96,0.0,420.48
508,814.56,0.0,407.28
509,809.6,0.0,404.8
510,-599.65,0.0,-299.825
511,-553.49,0.0,-276.745
512,-591.05,0.0,-295.525
513,-627.63,0.0,-313.815
514,-569.5,0.0,-284.75
547,215.28,4.239799818447099,0.0
548,258.1,2.993436230497612,0.0
549,265.83,3.163757523981956,0.0
551,213.06,5.235639531288081,0.0
552,246.36,3.4092566520389096,0.0
553,378.99,3.311753861055754,0.0
554,195.44,5.92641705242081,0.0
555,199.25,5.612730890748342,0.0
556,297.98,5.011709970528454,0.0
557,270.85,2.9532763366673045,0.0
558,243.03,4.964542466079137,0.0
559,399.54,2.9003671286564705,0.0
560,303.78,3.0281644194244697,0.0
561,348.46,2.9036325160842376,0.0
562,332.17,2.681241237375587,0.0
563,787.68,0.0,393.84
564,772.31,0.0,386.155
565,785.17,0.0,392.585
566,712.73,0.0,356.365
568,782.3,0.0,391.15
569,813.48,0.0,406.74
570,828.29,0.0,414.145
571,808.0,0.0,404.0
572,708.98,0.0,354.49
585,-662.71,0.0,-331.355
586,-778.21,0.0,-389.105
587,-640.36,0.0,-320.18
588,-453.75,0.0,-226.875
589,-706.6,0.0,-353.3
590,-699.05,0.0,-349.525
591,-657.73,0.0,-328.865
592,-688.94,0.0,-344.47
593,-721.35,0.0,-360.675
594,-571.22,0.0,-285.61
647,263.16,3.2821687783046416,0.0
648,776.18,0.0,388.09
649,188.72,4.789460841626458,0.0
650,210.53,4.413450651007325,0.0
651,209.69,4.536987475130602,0.0
652,787.17,0.0,393.585
653,263.16,2.9628426812012423,0.0
654,189.47,5.168332455625744,0.0
655,-474.04,0.0,-237.02
656,-457.32,0.0,-228.66
657,-465.34,0.0,-232.67
658,-456.75,0.0,-228.375
659,304.52,2.630427875025024,0.0
660,181.24,5.804564655426015,0.0
661,256.89,3.387389826338729,0.0
662,253.77,3.36285930295868,0.0
663,729.31,0.0,364.655
664,845.02,0.0,422.51
665,181.98,5.833532767592629,0.0
666,-445.08,0.0,-222.54
667,-443.29,0.0,-221.645
668,351.01,3.431685344686012,0.0
669,246.09,3.55339751012388,0.0
670,328.26,3.362670929725667,0.0
671,-435.06,0.0,-217.53
672,-443.86,0.0,-221.93
673,198.7,5.65778321280759,0.0
674,812.77,0.0,406.385
675,792.76,0.0,396.38
676,811.54,0.0,405.77
677,296.51,4.335197045077562,0.0
678,867.41,0.0,433.705
679,794.02,0.0,397.01
680,799.02,0.0,399.51
681,811.34,0.0,405.67
682,-450.76,0.0,-225.38
683,177.19,5.870333077896974,0.0
684,-454.5,0.0,-227.25
685,803.27,0.0,401.635
686,159.17,6.4067937003384055,0.0
751,-505.21,0.0,-252.605
752,-587.26,0.0,-293.63
753,-553.82,0.0,-276.91
754,839.32,0.0,419.66
755,798.89,0.0,399.445
756,759.87,0.0,379.935
841,190.07,5.726824160761906,0.0
842,-384.41,0.0,-192.205
843,-400.79,0.0,-200.395
844,866.67,0.0,433.335
845,831.27,0.0,415.635
846,-396.19,0.0,-198.095
847,-498.15,0.0,-249.075
848,-508.72,0.0,-254.36
849,-502.21,0.0,-251.105
850,873.96,0.0,436.98
851,843.65,0.0,421.825
852,838.82,0.0,419.41
862,802.61,0.0,401.305
863,824.4,0.0,412.2
864,-435.64,0.0,-217.82
865,-540.02,0.0,-270.01
866,850.81,0.0,425.405
867,826.56,0.0,413.28
868,-532.39,0.0,-266.195
869,-496.07,0.0,-248.035
870,-489.63,0.0,-244.815
871,-494.41,0.0,-247.205
872,842.02,0.0,421.01
873,877.02,0.0,438.51
883,786.02,0.0,393.01
884,807.08,0.0,403.54
885,802.89,0.0,401.445
886,796.19,0.0,398.095
887,-586.4,0.0,-293.2
888,-547.63,0.0,-273.815
889,-574.24,0.0,-287.12
890,-601.17,0.0,-300.585
891,-511.47,0.3010299956639812,-2813.085
893,-397.9,5.479330527707678,-2188.45
894,-461.01,2.469822015978163,-2535.555
895,-421.4,5.0802114725318805,-2317.7
896,-440.78,3.768564109513573,-2424.29
897,267.42,3.3483048630481607,0.0
898,266.35,4.215796132589833,0.0
899,178.87,5.953092036768397,0.0
900,267.89,4.656835780078811,0.0
901,188.48,5.609812035461795,0.0
902,212.87,5.497554361304037,0.0
903,180.37,5.836186715107154,0.0
904,215.51,5.439094161184332,0.0
905,210.7,5.42838913831827,0.0
906,206.84,5.311416887321614,0.0
907,263.38,4.665233791884687,0.0
908,211.51,5.189158921951052,0.0
909,184.93,5.728460921835572,0.0
911,179.74,5.820594183681315,0.0
912,257.09,4.64423173331632,0.0
914,824.23,0.0,412.115
915,764.42,0.0,382.21
916,703.94,0.0,351.97
917,774.16,0.0,387.08
918,774.84,0.0,387.42
919,798.23,0.0,399.115
920,818.65,0.0,409.325
921,793.25,0.0,396.625
922,777.33,0.0,388.665
923,782.48,0.0,391.24
924,787.57,0.0,393.785
925,769.16,0.0,384.58
926,781.34,0.0,390.67
927,800.76,0.0,400.38
928,801.78,0.0,400.89
929,784.9,0.0,392.45
930,765.5,0.0,382.75
931,801.81,0.0,400.905
932,736.79,0.0,368.395
933,752.7,0.0,376.35
934,803.13,0.0,401.565
935,772.41,0.0,386.205
936,836.03,0.0,418.015
937,731.37,0.0,365.685
938,796.99,0.0,398.495
939,825.4,0.0,412.7
940,698.83,0.0,349.415
941,695.03,0.0,347.515
942,765.39,0.0,382.695
943,179.75,5.910061698508087,0.0
944,261.78,4.563516681843913,0.0
945,561.49,3.0751818546186915,308.8195
948,570.66,2.6434526764861874,313.863
