nr,Laminate,smax,Ncycles,smean
1,0.0,-412.37,0.0,-0.0
6,0.0,-405.23,0.0,-0.0
11,0.0,-391.71,0.0,-0.0
16,0.0,812.25,0.0,0.0
21,0.0,288.41,2.8981764834976764,0.0
26,0.0,285.42,2.671172842715084,0.0
31,0.0,859.1,0.0,0.0
41,0.0,879.47,0.0,0.0
46,0.0,-470.5,0.0,-0.0
51,0.0,841.84,0.0,0.0
56,0.0,-505.91,0.0,-0.0
61,0.0,-593.44,0.0,-0.0
66,0.0,751.74,0.0,0.0
71,0.0,306.99,4.135291704475752,0.0
76,0.0,262.27,4.386052848940389,0.0
247,1.0,768.15,0.0,0.0
248,1.0,-523.64,0.0,-0.0
252,1.0,-461.06,0.0,-0.0
253,1.0,207.96,5.27894099287388,0.0
257,1.0,-459.35,0.0,-0.0
258,1.0,254.86,3.568319085095112,0.0
262,1.0,231.07,4.08536194368613,0.0
263,1.0,259.92,3.8884041677370464,0.0
277,1.0,230.85,4.798795616224465,0.0
278,1.0,-451.04,0.0,-0.0
282,1.0,-440.17,0.0,-0.0
283,1.0,259.95,3.36417563277062,0.0
287,1.0,-484.12,0.0,-0.0
288,1.0,260.93,3.1383026981662816,0.0
292,1.0,801.18,0.0,0.0
293,1.0,260.0,4.065467672465651,0.0
307,1.0,791.68,0.0,0.0
308,1.0,-519.16,0.0,-0.0
312,1.0,-426.8,0.0,-0.0
313,1.0,389.92,2.143014800254095,0.0
317,1.0,-419.38,0.0,-0.0
322,1.0,227.46,4.786353846576918,0.0
323,1.0,259.79,3.2579184503140586,0.0
442,1.0,795.39,0.0,0.0
443,1.0,796.24,0.0,0.0
444,1.0,786.3,0.0,0.0
445,1.0,-393.42,0.0,-0.0
446,1.0,-397.56,0.0,-0.0
447,1.0,-472.63,0.0,-0.0
448,1.0,777.23,0.0,0.0
449,1.0,794.18,0.0,0.0
450,1.0,778.08,0.0,0.0
451,1.0,-473.09,0.0,-0.0
452,1.0,-491.99,0.0,-0.0
